nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
ANTONIE CLAASSEN,Racing 92,3e ligne,20 Octobre 1984,France,191,106
CLEMENT CLAVIERES,Castres Olympique,Arrière,21 Février 2001,France,,
STEPHANE CLEMENT,Stade Français Paris,1ère ligne,3 Septembre 1987,France,183,127
DORIAN CLERC,Castres Olympique,Centre,7 Juillet 1998,France,,
Marc CLERC,Castres Olympique,1ère ligne,9 Juin 1987,France,181,116
Vadim COBILAS,Union Bordeaux-Bègles,1ère ligne,30 Juillet 1983,Roumanie,,
Benjamin COLLET,Aviron Bayonnais,3e ligne,11 Avril 1989,France,185,100
Georges Henri COLOMBE REAZEL,Racing 92,1ère ligne,9 Avril 1998,France,192,119
MATHIAS COLOMBET,Section Paloise,Ailier,1 Mai 1997,France,,
Thomas COMBEZOU,Castres Olympique,Centre,26 Janvier 1987,France,182,93
Ruan Jacobus COMBRINCK,Stade Français Paris,Arrière,10 Mai 1990,Afrique du Sud,,
Alban CONDUCHE,SU Agen,Centre,29 Octobre 1996,France,,
BLAIR CONNOR,Union Bordeaux-Bègles,Trois quart aile,29 Septembre 1988,Angleterre,183,82
Nicolas CORATO,Section Paloise,1ère ligne,7 Octobre 1997,France,,
MIKE CORBEL,Stade Rochelais,1ère ligne,9 Avril 1992,France,177,120
Swan CORMENIER,Aviron Bayonnais,1ère ligne,18 Janvier 1996,France,,
Fernandez CORREA,SU Agen,1ère ligne,27 Novembre 1997,Sénégal,,
Théo Costosseque,Racing 92,Centre,26 Avril 2000,France,,
YOAN COTTIN,RC Toulon,Demi mêlée,31 Janvier 1998,France,,
Baptiste COUCHINAVE,Section Paloise,Centre,25 Janvier 1998,France,,
Baptiste COUILLOUD,LOU Rugby,Demi mêlée,22 Juillet 1997,France,,
Arthur COVILLE,Stade Français Paris,Demi mêlée,4 Février 1998,France,,
GUILLAUME CRAMONT,Stade Toulousain,1ère ligne,29 Décembre 2000,France,,
Dylan CRETIN,LOU Rugby,3e ligne,4 Mai 1997,France,,
GEOFFREY CROS,Union Bordeaux-Bègles,Arrière,8 Mars 1997,France,,
FRANCOIS CROS,Stade Toulousain,3e ligne,25 Mars 1994,France,,
FRANCOIS DA ROS,CA Brive,1ère ligne,29 Septembre 1983,France,179,106
Lucas DA SILVA,Stade Français Paris,1ère ligne,19 Décembre 1997,France,,
THEO DACHARY,RC Toulon,Centre,26 Mars 1997,France,,
CLEMENT DAGUIN,Stade Français Paris,Demi mêlée,25 Mai 1992,France,177,78
Ro Masivesi DAKUWAQA,RC Toulon,Ailier,14 Février 1994,Fidji,,
JONATHAN DANTY,Stade Français Paris,Centre,7 Octobre 1992,France,,
ANDREA DARDENNE,Castres Olympique,3e ligne,1 Janvier 2001,France,,
Tom DARLET,Aviron Bayonnais,3e ligne,6 Août 1996,France,,
THOMAS DARMON,Montpellier Hérault Rugby,Demi d'ouverture,12 Mai 1998,France,,
MAXENCE DARTHOU,CA Brive,Centre,27 Mars 2001,France,,
THIBAULT DAUBAGNA,Section Paloise,Demi mêlée,20 Mai 1994,France,,
Yann DAVID,Castres Olympique,Centre,15 Avril 1988,France,185,105
Wayan DE BENEDITTIS,Castres Olympique,1ère ligne,10 Mars 1999,France,,
LUCAS DE CONINCK,Montpellier Hérault Rugby,3e ligne,15 Janvier 1996,France,,
MATHIEU DE GIOVANNI,Stade Français Paris,3e ligne,10 Janvier 1994,France,,
Mickaël DE MARCO,SU Agen,2e ligne,22 Avril 1989,France,197,116
Thibault DEBAES,Section Paloise,Demi d'ouverture,30 Novembre 2001,France,,
Nathan DECRON,SU Agen,Centre,17 Février 1998,France,,
