nom,club,poste,date_naissance,lieu_naissance,taille(cm),poids(kg)
JULIEN FUMAT,Section Paloise,Centre,26 Mars 1987,France,180,83
Thierry FUTEU YOUTCHEU,Stade Français Paris,1ère ligne,23 Juin 1995,Cameroun,,
PAUL GABRILLAGUES,Stade Français Paris,2e ligne,3 Juin 1993,France,,
SEVANAIA GALALA,CA Brive,Ailier,29 Janvier 1993,Fidji,,
GILLIAN GALAN,Stade Toulousain,3e ligne,7 Août 1991,France,193,120
KELIAN GALLETIER,Montpellier Hérault Rugby,3e ligne,18 Mars 1992,France,,
Killian GERACI,LOU Rugby,2e ligne,25 Mars 1999,France,,
Camille GERONDEAU,Castres Olympique,3e ligne,12 Mars 1988,France,194,114
Leonardo GHIRALDINI,Union Bordeaux-Bègles,1ère ligne,26 Décembre 1984,Italie,,
ANTOINE GIBERT,Racing 92,Centre,31 Décembre 1997,France,,
BEKA GIGASHVILI,RC Toulon,1ère ligne,17 Février 1992,Géorgie,,
Liam GILL,LOU Rugby,3e ligne,8 Juin 1992,Australie,,
Kévin GIMENO,Castres Olympique,3e ligne,11 Septembre 1991,France,195,106
OTARI GIORGADZE,CA Brive,3e ligne,2 Mars 1996,Géorgie,,
Vincent GIUDICELLI,Montpellier Hérault Rugby,1ère ligne,25 Juin 1997,France,,
LOIC GODENER,Stade Français Paris,3e ligne,13 Août 1995,France,,
Guram Gogichashvili,Racing 92,,4 Septembre 1998,Géorgie,,
Jean Victor GOILLOT,Stade Rochelais,Demi mêlée,10 Février 1998,France,,
CEDATE GOMES SA,Racing 92,1ère ligne,7 Août 1993,Portugal,183,109
Francisco GOMEZ KODELA,LOU Rugby,1ère ligne,3 Juillet 1985,Slovènie,184,120
JOHANNES GOOSEN,Montpellier Hérault Rugby,Demi d'ouverture,27 Juillet 1992,Afrique du Sud,184,89
COSTINEL GORCIOAIA,Aviron Bayonnais,3e ligne,30 Novembre 1987,France,,
BEKA GORGADZE,Union Bordeaux-Bègles,3e ligne,8 Février 1996,Géorgie,,
MAMUKA GORGODZE,RC Toulon,3e ligne,14 Juillet 1984,France,196,118
Loann GOUJON,LOU Rugby,3e ligne,23 Avril 1989,France,192,113
Aaron GRANDIDIER-NKANANG,CA Brive,Arrière,18 Mai 2000,France,,
RICHARD GRAY,Stade Toulousain,2e ligne,24 Août 1989,Ecosse,206,125
TALALELEI GRAY,Stade Français Paris,3e ligne,28 Février 1990,Samoa américain,,
RU-HANN GREYLING,Montpellier Hérault Rugby,1ère ligne,28 Mai 1999,Afrique du Sud,,
